freq,B,C,D-1,D-2
923.7357,99.1105,100.322,96.9424,96.9688
924.6999,99.1046,100.199,96.7302,96.7794
925.6641,99.1031,100.0597,96.5036,96.5791
926.6284,99.1032,99.913,96.2601,96.3653
927.5926,99.1012,99.7747,95.9986,96.1373
928.5568,99.0942,99.6648,95.7207,95.8966
929.5211,99.0818,99.6013,95.4321,95.6488
930.4853,99.0665,99.5942,95.1439,95.4042
931.4495,99.0523,99.6406,94.8729,95.1777
932.4138,99.042,99.7238,94.6402,94.9875
933.378,99.0358,99.8172,94.4683,94.8525
934.3422,99.0314,99.8921,94.3764,94.7886
935.3065,99.0248,99.9258,94.3756,94.8047
936.2707,99.0132,99.9078,94.4662,94.9006
937.2349,98.9962,99.8425,94.637,95.0668
938.1992,98.9758,99.7464,94.8675,95.2859
939.1634,98.9553,99.6432,95.1326,95.5363
940.1276,98.9369,99.5577,95.4075,95.7968
941.0919,98.9203,99.5103,95.6727,96.0498
942.0561,98.9026,99.5134,95.9173,96.2854
943.0203,98.8796,99.5704,96.1396,96.5012
943.9846,98.8485,99.6758,96.3455,96.702
944.9488,98.8089,99.8175,96.5454,96.8963
945.913,98.7636,99.9789,96.7497,97.0937
946.8773,98.717,100.1419,96.9665,97.3011
947.8415,98.6724,100.2902,97.1996,97.5219
948.8057,98.6309,100.4119,97.4481,97.7549
949.77,98.5904,100.5017,97.7082,97.9963
950.7342,98.5461,100.5606,97.9741,98.2403
951.6984,98.4921,100.5951,98.2398,98.4814
952.6627,98.4218,100.6136,98.5,98.7148
953.6269,98.3286,100.6236,98.75,98.937
954.5911,98.205,100.6296,98.986,99.1449
955.5554,98.0425,100.6325,99.2049,99.3363
956.5196,97.8345,100.6313,99.4043,99.5095
957.4838,97.5792,100.6243,99.5831,99.6636
958.4481,97.2852,100.6116,99.7415,99.7988
959.4123,96.9744,100.5948,99.8808,99.9166
960.3765,96.6825,100.5763,100.0028,100.0189
961.3408,96.453,100.5583,100.1097,100.1081
962.305,96.3288,100.5413,100.2033,100.1863
963.2692,96.3397,100.5245,100.2851,100.2552
964.2335,96.494,100.5067,100.3567,100.316
965.1977,96.7744,100.488,100.4195,100.3694
966.1619,97.1421,100.4704,100.4749,100.4162
967.1262,97.5462,100.4576,100.5242,100.4573
968.0904,97.9368,100.4533,100.5681,100.4932
969.0546,98.2754,100.4594,100.6068,100.5244
970.0189,98.5406,100.4746,100.6397,100.5508
970.9831,98.728,100.4945,100.6662,100.5723
971.9473,98.8456,100.5132,100.6864,100.589
972.9116,98.9073,100.5257,100.7015,100.6016
973.8758,98.9274,100.5294,100.7135,100.6113
974.84,98.9179,100.5255,100.7253,100.62
975.8043,98.8883,100.5168,100.739,100.6293
976.7685,98.8476,100.5071,100.7559,100.6401
977.7327,98.8048,100.4984,100.7755,100.6524
978.697,98.7694,100.4905,100.7958,100.6649
979.6612,98.7492,100.4815,100.8143,100.6758
980.6254,98.7479,100.4691,100.8286,100.6831
981.5897,98.7646,100.4524,100.8373,100.6859
982.5539,98.7933,100.4326,100.8402,100.6838
983.5181,98.8261,100.4122,100.8383,100.6778
984.4824,98.8557,100.3947,100.833,100.6693
985.4467,98.8776,100.3822,100.8253,100.6596
986.4109,98.891,100.3759,100.816,100.6495
987.3751,98.8973,100.375,100.805,100.6392
988.3394,98.8983,100.3784,100.792,100.6281
989.3036,98.8951,100.385,100.7755,100.6147
990.2678,98.8869,100.394,100.7536,100.597
991.2321,98.8726,100.4044,100.7238,100.5726
992.1963,98.8517,100.4141,100.6829,100.5388
993.1605,98.8256,100.4198,100.6286,100.4938
994.1248,98.7968,100.4174,100.5597,100.4368
995.089,98.7683,100.4035,100.4787,100.3698
996.0532,98.741,100.3768,100.3917,100.2978
997.0175,98.7138,100.3395,100.3089,100.2293
997.9817,98.684,100.2971,100.2427,100.1741
998.9459,98.6486,100.2567,100.2051,100.1423
999.9102,98.6065,100.2249,100.2045,100.1407
1000.874,98.56,100.206,100.243,100.1711
1001.839,98.5133,100.2011,100.3152,100.2292
1002.803,98.4713,100.2081,100.4089,100.3051
1003.767,98.4364,100.2236,100.5088,100.3856
1004.731,98.4077,100.2442,100.5993,100.4581
1005.696,98.3808,100.2673,100.6694,100.513
1006.66,98.3503,100.2913,100.7141,100.5465
1007.624,98.312,100.3147,100.7348,100.5598
1008.588,98.2642,100.3355,100.7373,100.5581
1009.552,98.2068,100.3508,100.7288,100.5474
1010.517,98.1384,100.3577,100.7157,100.5329
1011.481,98.0526,100.3545,100.7015,100.5169
1012.445,97.9368,100.3417,100.6868,100.4997
1013.409,97.7744,100.322,100.6711,100.4807
1014.374,97.5513,100.3003,100.6535,100.4593
1015.338,97.2646,100.2811,100.6337,100.4353
1016.302,96.93,100.2676,100.6112,100.4086
1017.266,96.5843,100.2607,100.584,100.3767
1018.231,96.2814,100.2592,100.547,100.3339
1019.195,96.0795,100.2608,100.4922,100.2712
1020.159,96.0266,100.2634,100.4102,100.1781
1021.123,96.146,100.266,100.2941,100.0474
1022.088,96.4284,100.2686,100.1439,99.8797
1023.052,96.8336,100.2718,99.9693,99.6862
1024.016,97.3001,100.2758,99.7901,99.4896
1024.98,97.7604,100.2802,99.6331,99.3197
1025.944,98.1575,100.2841,99.5254,99.2065
1026.909,98.4558,100.2867,99.4871,99.1721
1027.873,98.6466,100.2877,99.5258,99.2243
1028.837,98.7432,100.2879,99.6336,99.354
1029.801,98.7722,100.2882,99.7897,99.5375
1030.766,98.7627,100.2896,99.9659,99.7434
1031.73,98.7378,100.2916,100.1342,99.9403
1032.694,98.7106,100.2931,100.2732,100.104
1033.658,98.6851,100.2925,100.3718,100.222
1034.623,98.6597,100.2884,100.4296,100.2937
1035.587,98.6322,100.281,100.4544,100.3276
1036.551,98.6018,100.2717,100.4573,100.3363
1037.515,98.5703,100.2624,100.449,100.3317
1038.479,98.5406,100.255,100.4367,100.3224
1039.444,98.5145,100.2501,100.424,100.3124
1040.408,98.4917,100.2468,100.4116,100.3028
1041.372,98.4697,100.2435,100.399,100.2928
1042.336,98.4454,100.2389,100.386,100.2822
1043.301,98.4164,100.2325,100.3731,100.271
1044.265,98.3826,100.2251,100.3611,100.2601
1045.229,98.3457,100.2184,100.3507,100.2505
1046.193,98.308,100.2135,100.3419,100.2422
1047.158,98.2712,100.2107,100.3343,100.2351
1048.122,98.235,100.209,100.327,100.2283
1049.086,98.1973,100.2066,100.3193,100.2213
1050.05,98.1553,100.2021,100.3113,100.2139
1051.015,98.1071,100.1948,100.3031,100.2062
1051.979,98.0525,100.1857,100.2952,100.1983
1052.943,97.9934,100.1762,100.2875,100.1901
1053.907,97.9327,100.1675,100.2797,100.1811
1054.871,97.8733,100.1598,100.2709,100.1703
1055.836,97.8166,100.152,100.2602,100.1565
1056.8,97.7625,100.1421,100.2465,100.1388
1057.764,97.7097,100.1284,100.2289,100.1161
1058.728,97.6571,100.1098,100.2063,100.0878
1059.693,97.6046,100.0863,100.1773,100.0526
1060.657,97.5533,100.0576,100.1399,100.0091
1061.621,97.5054,100.0231,100.0916,99.9548
1062.585,97.462,99.9801,100.0291,99.8865
1063.55,97.4228,99.9253,99.9482,99.7998
1064.514,97.3854,99.855,99.8446,99.6893
